table_name,field_name,language,record_id,translation
directions,direction,en,119_0,East
directions,direction,en,119_1,West
routes,route_desc,en,119,Day
routes,route_desc_detail,en,119,Day routes only
routes,route_url,en,120,https://www.stm.info/en/info/networks/bus
directions,direction,en,120_0,North
directions,direction,en,120_1,South
routes,route_desc,en,120,Day
routes,route_desc_detail,en,120,Day routes only
routes,route_url,en,121,https://www.stm.info/en/info/networks/bus
directions,direction,en,121_0,East
directions,direction,en,121_1,West
routes,route_desc,en,121,All-day high-frequency
routes,route_desc_detail,en,121,Departures every 2 to 12 minutes Monday through Friday between 6am and 8pm (in both directions)
routes,route_url,en,123,https://www.stm.info/en/info/networks/bus
directions,direction,en,123_0,South
directions,direction,en,123_1,North
routes,route_desc,en,123,Day
routes,route_desc_detail,en,123,Day routes only
routes,route_url,en,124,https://www.stm.info/en/info/networks/bus
directions,direction,en,124_0,South
directions,direction,en,124_1,North
routes,route_desc,en,124,Day
routes,route_desc_detail,en,124,Day routes only
routes,route_url,en,125,https://www.stm.info/en/info/networks/bus
directions,direction,en,125_0,East
directions,direction,en,125_1,West
routes,route_desc,en,125,Day
routes,route_desc_detail,en,125,Day routes only
routes,route_url,en,127,https://www.stm.info/en/info/networks/bus
directions,direction,en,127_0,North
directions,direction,en,127_1,South
routes,route_desc,en,127,Day
routes,route_desc_detail,en,127,Day routes only
routes,route_url,en,128,https://www.stm.info/en/info/networks/bus
directions,direction,en,128_0,South
directions,direction,en,128_1,North
routes,route_desc,en,128,Day
routes,route_desc_detail,en,128,Day routes only
routes,route_url,en,129,https://www.stm.info/en/info/networks/bus
directions,direction,en,129_0,North
directions,direction,en,129_1,South
routes,route_desc,en,129,Day
routes,route_desc_detail,en,129,Day routes only
routes,route_url,en,131,https://www.stm.info/en/info/networks/bus
directions,direction,en,131_0,South
directions,direction,en,131_1,North
routes,route_desc,en,131,Day
routes,route_desc_detail,en,131,Day routes only
routes,route_url,en,136,https://www.stm.info/en/info/networks/bus
directions,direction,en,136_0,South
directions,direction,en,136_1,North
routes,route_desc,en,136,Rush-hour high-frequency
routes,route_desc_detail,en,136,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,138,https://www.stm.info/en/info/networks/bus
directions,direction,en,138_0,East
directions,direction,en,138_1,West
routes,route_desc,en,138,Day
routes,route_desc_detail,en,138,Day routes only
routes,route_url,en,139,https://www.stm.info/en/info/networks/bus
directions,direction,en,139_0,South
directions,direction,en,139_1,North
routes,route_desc,en,139,Day
routes,route_desc_detail,en,139,Day routes only
routes,route_url,en,140,https://www.stm.info/en/info/networks/bus
directions,direction,en,140_0,West
directions,direction,en,140_1,East
routes,route_desc,en,140,Day
routes,route_desc_detail,en,140,Day routes only
routes,route_url,en,141,https://www.stm.info/en/info/networks/bus
directions,direction,en,141_0,East
directions,direction,en,141_1,West
routes,route_desc,en,141,All-day high-frequency
routes,route_desc_detail,en,141,Departures every 2 to 12 minutes Monday through Friday between 6am and 8pm (in both directions)
routes,route_url,en,144,https://www.stm.info/en/info/networks/bus
directions,direction,en,144_0,East
directions,direction,en,144_1,West
routes,route_desc,en,144,Day
routes,route_desc_detail,en,144,Day routes only
routes,route_url,en,150,https://www.stm.info/en/info/networks/bus
directions,direction,en,150_0,East
directions,direction,en,150_1,West
routes,route_desc,en,150,Day
routes,route_desc_detail,en,150,Day routes only
routes,route_url,en,155,https://www.stm.info/en/info/networks/bus
directions,direction,en,155_0,North
directions,direction,en,155_1,South
routes,route_desc,en,155,Day
routes,route_desc_detail,en,155,Day routes only
routes,route_url,en,160,https://www.stm.info/en/info/networks/bus
directions,direction,en,160_0,East
directions,direction,en,160_1,West
routes,route_desc,en,160,Rush-hour high-frequency
routes,route_desc_detail,en,160,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,161,https://www.stm.info/en/info/networks/bus
directions,direction,en,161_0,East
directions,direction,en,161_1,West
routes,route_desc,en,161,All-day high-frequency
routes,route_desc_detail,en,161,Departures every 2 to 12 minutes Monday through Friday between 6am and 8pm (in both directions)
routes,route_url,en,162,https://www.stm.info/en/info/networks/bus
directions,direction,en,162_0,East
directions,direction,en,162_1,West
routes,route_desc,en,162,Day
routes,route_desc_detail,en,162,Day routes only
routes,route_url,en,164,https://www.stm.info/en/info/networks/bus
directions,direction,en,164_0,East
directions,direction,en,164_1,West
routes,route_desc,en,164,Day
routes,route_desc_detail,en,164,Day routes only
routes,route_url,en,165,https://www.stm.info/en/info/networks/bus
directions,direction,en,165_0,South
directions,direction,en,165_1,North
